trial_id,phase,target,stimulus,interval,scored,outcome,reaction_time,response_epoch,response_performance,stimulus_onset_epoch,stimulus_onset_performance,I_j
1,TRAINING,True,green_circle,2.4584107632096854,False,omission,,,,1788619774.375,3152.2999999988824,
2,TRAINING,True,green_circle,2.402901176893653,False,omission,,,,1788619776.847,5623.5,
3,TRAINING,True,green_circle,2.4857388981399247,False,hit,0.484,1788619779.734,8510.89999999851,1788619779.25,8026.89999999851,
4,TRAINING,True,green_circle,2.4895096076613537,False,hit,0.5259000000003725,1788619782.262,11038.699999999255,1788619781.736,10512.799999998882,
5,TRAINING,True,green_circle,2.4185552096783187,False,hit,0.393,1788619784.624,13400.89999999851,1788619784.231,13007.89999999851,
6,TRAINING,True,green_circle,2.5719884310249412,False,hit,0.28280000000074507,1788619786.935,15712.199999999255,1788619786.653,15429.39999999851,
7,TRAINING,True,green_circle,2.3684451425113493,False,hit,0.31410000000149013,1788619789.541,18318.0,1788619789.227,18003.89999999851,
8,TRAINING,True,green_circle,2.362513377362487,False,hit,0.2625,1788619791.859,20636.099999999627,1788619791.597,20373.599999999627,
9,TRAINING,True,green_circle,2.550249419647427,False,hit,0.29219999999925494,1788619794.253,23029.39999999851,1788619793.96,22737.199999999255,
10,TRAINING,True,green_circle,2.338709183588725,False,hit,0.2619000000003725,1788619796.776,25552.599999999627,1788619796.514,25290.699999999255,
11,TRAINING,True,green_circle,2.5439635882599823,False,hit,0.254,1788619799.108,27884.699999999255,1788619798.854,27630.699999999255,
12,TRAINING,True,green_circle,2.400636220303006,False,hit,0.2704000000003725,1788619801.669,30445.5,1788619801.398,30175.099999999627,
13,TRAINING,True,green_circle,2.463945142283662,False,hit,0.254,1788619804.054,32830.39999999851,1788619803.8,32576.39999999851,
14,TRAINING,True,green_circle,2.5533384934290204,False,hit,0.2839000000003725,1788619806.55,35327.09999999963,1788619806.266,35043.199999999255,
15,TRAINING,True,green_circle,2.3234884502538837,False,hit,0.3202000000011176,1788619809.141,37917.5,1788619808.82,37597.29999999888,
16,TRAINING,True,green_circle,2.5618963563776296,False,hit,0.3767999999988824,1788619811.537,40313.89999999851,1788619811.16,39937.09999999963,
17,TRAINING,True,green_circle,2.3388235032020956,False,hit,0.31119999999925496,1788619814.034,42810.89999999851,1788619813.723,42499.699999999255,
18,TRAINING,True,green_circle,2.5301057463434455,False,hit,0.7685999999996275,1788619816.843,45620.29999999888,1788619816.075,44851.699999999255,
19,TRAINING,True,green_circle,2.487814694846754,False,omission,,,,1788619818.607,47383.699999999255,
20,TRAINING,True,green_circle,2.445049802325442,False,omission,,,,1788619821.098,49874.699999999255,
21,TRAINING,True,green_circle,2.464513174294889,False,omission,,,,1788619823.546,52322.79999999888,
22,TRAINING,True,green_circle,2.355040656729825,False,omission,,,,1788619826.015,54791.699999999255,
23,TRAINING,True,green_circle,2.4288745017629125,False,omission,,,,1788619828.371,57147.89999999851,
24,TRAINING,True,green_circle,2.414740952928056,False,omission,,,,1788619830.807,59584.29999999888,
25,TRAINING,True,green_circle,2.452775542637133,False,omission,,,,1788619833.223,61999.59999999963,
26,TRAINING,True,green_circle,2.402291927980032,False,omission,,,,1788619835.69,64466.39999999851,
27,TRAINING,True,green_circle,2.5017933422973444,False,omission,,,,1788619838.092,66869.09999999963,
28,TRAINING,True,green_circle,2.592087871938902,False,omission,,,,1788619840.594,69370.79999999888,
29,TRAINING,True,green_circle,2.5705368161949336,False,omission,,,,1788619843.187,71964.09999999963,
30,TRAINING,True,green_circle,2.432624653230854,False,omission,,,,1788619845.759,74535.59999999963,
31,TRAINING,True,green_circle,2.5673219325579066,False,hit,0.9011999999992549,1788619849.093,77869.69999999925,1788619848.192,76968.5,
