interval_id,phase,scored,start_ts,end_ts,interval_valid,D_i,mean_velocity,mean_acceleration,movement_variance,total_blinks,gaze_deviations
1,TRAINING,False,1788617892.411,1788617894.962,True,,3.2339523335303184,40.435851920819275,0.06024169860645351,0,0
2,TRAINING,False,1788617894.962,1788617897.394,True,,4.837376165563611,41.8453436698288,0.12994174758911223,0,0
3,TRAINING,False,1788617897.394,1788617899.829,True,,2.9753664436251364,20.929858982346243,0.034255583917256145,0,0
4,TRAINING,False,1788617899.829,1788617902.235,True,,1.9748515105825446,15.459976697107274,0.019616573934815626,0,0
5,TRAINING,False,1788617902.235,1788617904.575,True,,2.0380780404695122,15.401998181972568,0.02105378041312048,0,0
6,TRAINING,False,1788617904.575,1788617907.081,True,,2.5543461801298757,22.071132831240604,0.025636829030499308,0,0
7,TRAINING,False,1788617907.081,1788617909.676,True,,4.2747870588736285,33.96383032030685,0.07439424496136114,0,0
8,TRAINING,False,1788617909.676,1788617912.232,True,,3.704804289666112,29.35930482701302,0.058775747371186224,0,0
9,TRAINING,False,1788617912.232,1788617914.649,True,,2.599002132201867,16.925832082930594,0.028082044372648208,0,0
10,TRAINING,False,1788617914.649,1788617917.189,True,,3.8167551119788787,28.286714398208836,0.06406720988712254,0,0
11,TRAINING,False,1788617917.189,1788617919.667,True,,2.6938625600316257,19.703623950221893,0.04054959762439712,0,0
12,TRAINING,False,1788617919.667,1788617922.262,False,,0.9761483665720997,6.700114502185858,0.004690701867262366,1,1
13,TRAINING,False,1788617922.262,1788617924.861,True,,1.9268933912691797,15.295011303633277,0.012750345469990952,0,0
14,TRAINING,False,1788617924.861,1788617927.431,True,,2.103816729928895,14.391511689467865,0.021217098356758887,0,0
15,TRAINING,False,1788617927.431,1788617929.927,True,,3.332763305556987,24.875516372127212,0.04849911492243639,0,0
16,TRAINING,False,1788617929.927,1788617932.327,True,,2.088434404314808,14.523711065418631,0.019945253252328283,0,0
17,TRAINING,False,1788617932.327,1788617934.697,True,,2.52214605386283,18.0199907560755,0.027551456219271304,0,0
18,TRAINING,False,1788617934.697,1788617937.035,True,,2.16021796983093,21.566542628469932,0.025121395831502552,0,0
19,TRAINING,False,1788617937.035,1788617939.443,True,,3.1666660117776146,21.605276111915106,0.039521656789987834,0,9
20,TRAINING,False,1788617939.443,1788617941.895,True,,3.4051635254260013,25.53454151367232,0.06132104770827971,0,7
21,TRAINING,False,1788617941.895,1788617944.449,True,,2.676412626975029,22.268944016293858,0.03429423528805127,0,0
22,TRAINING,False,1788617944.449,1788617946.815,True,,2.4448740827639663,17.022339891784107,0.035358663698566446,1,2
23,TRAINING,False,1788617946.815,1788617949.321,False,,2.334280071714229,12.698537817097574,0.026182960182067738,1,2
24,TRAINING,False,1788617949.321,1788617951.901,True,,4.051996211667246,26.333784469279994,0.05725198366334971,1,0
25,TRAINING,False,1788617951.901,1788617954.363,True,,3.2725912662339636,21.60709191471668,0.066338405450527,0,0
26,TRAINING,False,1788617954.363,1788617956.959,True,,2.463360874155417,17.299443960178635,0.024341788629296056,0,0
27,TRAINING,False,1788617956.959,1788617959.506,True,,2.8665833849402556,24.300127801175783,0.03674400572882047,0,0
28,TRAINING,False,1788617959.506,1788617961.847,True,,3.0923126903942624,23.499151025027093,0.039436031409365885,1,0
29,TRAINING,False,1788617961.847,1788617964.217,True,,1.8841992520825521,14.057025791460168,0.014318491430957559,0,0
30,TRAINING,False,1788617964.217,1788617966.678,True,,2.382863262035079,19.09475280826345,0.030482363133496018,0,0
31,TRAINING,False,1788617966.678,1788617969.269,True,,2.916381486946778,24.603332265229657,0.046831260361037935,0,1
32,TRAINING,False,1788617969.269,1788617971.769,False,,5.448237440368088,36.05186881222213,0.23393763903565265,1,0
33,TRAINING,False,1788617971.769,1788617974.167,False,,5.503301550470458,36.11469005140448,0.13301276347900867,0,0
34,TRAINING,False,1788617974.167,1788617976.524,False,,8.787168928771608,56.688849081296205,0.23487322098723976,0,0
35,TRAINING,False,1788617976.524,1788617979.118,False,,8.187691505336007,51.27046595164074,2.5246681730352565,0,0
36,TRAINING,False,1788617979.118,1788617981.653,False,,13.130064928096262,82.15881718924771,0.11632343902174512,0,0
37,TRAINING,False,1788617981.653,1788617984.073,False,,19.43414630658864,121.85073919645681,0.22758589394113496,0,0
38,TRAINING,False,1788617984.073,1788617986.629,False,,13.028253853398184,101.9692519054775,0.14220733959774787,0,0
39,TRAINING,False,1788617986.629,1788617989.124,True,,1.1529609788048498,7.864216527497038,0.08553587895037355,0,2
40,TRAINING,False,1788617989.124,1788617991.598,True,,1.46069102806017,10.112328826554126,0.010387622738222848,0,0
41,FOCUS,True,1788617991.598,1788617993.476,True,1.0,1.8688739715548435,8.498198616690734,0.016387345542246474,1,0
42,FOCUS,True,1788617993.476,1788617995.478,True,1.0,1.337408955690663,7.08003487068657,0.010377035815027356,0,0
43,FOCUS,True,1788617995.478,1788617997.451,True,1.0,1.272941895570181,7.016874463411488,0.00801528183079116,0,2
44,FOCUS,True,1788617997.451,1788617999.326,True,1.0,1.0031297961887313,6.946902400460182,0.004891117776896699,0,0
45,FOCUS,True,1788617999.326,1788618001.254,True,1.0,0.9042211951069448,4.608824197872078,0.003300975059535787,0,8
46,FOCUS,True,1788618001.254,1788618003.213,True,1.0,1.1604277685696542,8.105578969284737,0.00622915038292103,0,0
47,FOCUS,True,1788618003.213,1788618005.262,True,1.0,1.0411658819224523,4.520559593517511,0.004446556693465181,0,0
48,FOCUS,True,1788618005.262,1788618007.303,True,1.0,1.2891194614995118,9.28152030829058,0.0077481564731351465,0,5
49,FOCUS,True,1788618007.303,1788618009.265,True,1.0,1.0224673078566249,7.1313362317898195,0.0053225179431061155,0,0
50,FOCUS,True,1788618009.265,1788618011.282,True,1.0,1.1157151911501346,3.9390537354850417,0.005414466296964878,0,0
51,FOCUS,True,1788618011.282,1788618013.35,True,1.0,1.2140261829012138,7.993847175242979,0.0068850651114887125,0,0
52,FOCUS,True,1788618013.35,1788618015.344,True,1.0,1.4982209987998063,7.128538414567314,0.008793088260852937,0,0
53,FOCUS,True,1788618015.344,1788618017.428,True,1.0,1.9416036143628248,12.44480064104645,0.021658067619087944,0,0
54,FOCUS,True,1788618017.428,1788618019.505,True,1.0,0.8972530662430703,5.282912280301684,0.004094148492413382,1,0
55,FOCUS,True,1788618019.505,1788618021.383,True,1.0,0.9980007469738807,5.11577027233713,0.00423569962962881,1,0
56,FOCUS,True,1788618021.383,1788618023.332,True,1.0,1.017194736795783,5.186696138405619,0.004165638260439231,1,0
57,FOCUS,True,1788618023.332,1788618025.203,True,1.0,1.4534034205504511,10.391740724901442,0.009670144942295377,0,0
58,FOCUS,True,1788618025.203,1788618027.144,True,1.0,1.5094543123608275,11.802302413273827,0.012359023800554647,0,0
59,FOCUS,True,1788618027.144,1788618029.129,True,1.0,1.4196676737445961,9.175488910906402,0.010097598240826887,0,0
60,FOCUS,True,1788618029.129,1788618031.278,True,1.0,1.1678798229049552,8.719559203662122,0.006083092943642091,0,0
61,FOCUS,True,1788618031.278,1788618033.271,True,1.0,1.0223552141585337,5.09812003678552,0.004893570604693067,0,0
62,FOCUS,True,1788618033.271,1788618035.339,True,1.0,1.2555490108571448,10.024282148563083,0.0072004892475737,0,0
63,FOCUS,True,1788618035.339,1788618037.407,True,1.0,1.1511280970979703,7.984933604010686,0.006820019843491463,0,0
64,FOCUS,True,1788618037.407,1788618039.439,True,1.0,1.3735209120171639,8.5833860292439,0.0074790104365596135,0,0
65,FOCUS,True,1788618039.439,1788618041.567,True,1.0,1.5062380974371987,11.255826568043657,0.009855401906416617,0,0
66,FOCUS,True,1788618041.567,1788618043.565,True,1.0,1.2934161582832124,9.643323679385187,0.009114167365930095,0,0
67,FOCUS,True,1788618043.565,1788618045.528,True,1.0,1.3611402158522048,7.406917843245147,0.007515071168051053,0,0
68,FOCUS,True,1788618045.528,1788618047.423,True,1.0,1.3390987204393199,10.422875092504539,0.007993746708203497,0,0
69,FOCUS,True,1788618047.423,1788618049.545,True,1.0,0.8955041205069163,8.227962093651264,0.004613939549621448,0,0
70,FOCUS,True,1788618049.545,1788618051.397,True,1.0,1.1693862516575082,6.5077703721014695,0.006797635944179906,0,0
71,FOCUS,True,1788618051.397,1788618053.318,True,1.0,1.3247437637814685,9.355896094691111,0.0073446030915909665,0,0
72,FOCUS,True,1788618053.318,1788618055.279,True,1.0,1.2129830569654256,9.093116153520047,0.007878977611296453,0,0
73,FOCUS,True,1788618055.279,1788618057.338,True,1.0,1.320184290419992,10.76161476492139,0.012021678903650766,0,0
74,FOCUS,True,1788618057.338,1788618059.35,True,1.0,1.2785169635481795,7.964996816400093,0.007847701428975791,0,0
75,FOCUS,True,1788618059.35,1788618061.459,True,1.0,1.1241148129463976,6.564608134719774,0.005854531231633844,0,0
76,FOCUS,True,1788618061.459,1788618063.589,True,1.0,1.291018876395803,12.095070139784532,0.007814153322919825,0,0
77,FOCUS,True,1788618063.589,1788618065.446,True,1.0,1.2809469090174415,6.551282331720177,0.007000069079903857,0,0
78,FOCUS,True,1788618065.446,1788618067.325,True,1.0,1.1582370722538853,7.131579583275897,0.0059695796111191,0,0
79,FOCUS,True,1788618067.325,1788618069.313,True,1.0,1.1680523791809523,8.383749530367743,0.006699423651023837,0,0
80,FOCUS,True,1788618069.313,1788618071.189,True,1.0,0.7540522261301592,4.559779592489549,0.0031102491125640196,1,0
81,FOCUS,True,1788618071.189,1788618073.116,True,1.0,1.3045868113407102,9.391245622043112,0.008667416253709277,1,0
82,FOCUS,True,1788618073.116,1788618075.25,True,1.0,1.5736461336819905,13.019823541684886,0.011398313654757289,0,3
83,FOCUS,True,1788618075.25,1788618077.389,True,1.0,1.1878103236512636,6.205109985830945,0.006592182867877969,0,2
84,FOCUS,True,1788618077.389,1788618079.453,True,1.0,1.5281841245542749,11.696952991293845,0.009354537218849967,0,0
85,FOCUS,True,1788618079.453,1788618081.489,True,1.0,1.1866213394153238,7.6026992123120545,0.008445080488230453,0,0
86,FOCUS,True,1788618081.489,1788618083.358,True,1.0,1.2973100773287871,6.850858583793058,0.007076446140982632,0,0
87,FOCUS,True,1788618083.358,1788618085.215,True,1.0,1.6400878744586762,14.029223267064687,0.016774758296928118,1,0
88,FOCUS,True,1788618085.215,1788618087.302,True,1.0,1.6843884312193755,15.949317063791975,0.017221691807831736,0,1
89,FOCUS,True,1788618087.302,1788618089.314,True,1.0,1.395643779098965,7.782840232258552,0.007820810767960179,1,0
90,FOCUS,True,1788618089.314,1788618091.173,True,1.0,1.4316934828941799,10.740252808276445,0.012119428514515938,0,0
91,FOCUS,True,1788618091.173,1788618093.068,True,1.0,1.8862577398125517,14.56756298066911,0.02089200508918312,0,0
92,FOCUS,True,1788618093.068,1788618094.964,True,1.0,2.111785817250965,12.696474271868185,0.02207986708383558,0,0
93,FOCUS,True,1788618094.964,1788618097.091,True,1.0,1.4398052085721094,9.971589966382563,0.009907938852267088,0,2
94,FOCUS,True,1788618097.091,1788618099.215,True,1.0,1.7692270653474889,14.303715540147872,0.019477092858321526,0,0
95,FOCUS,True,1788618099.215,1788618101.271,True,1.0,1.5994491056242561,14.09387232295866,0.012995791832900202,1,0
96,FOCUS,True,1788618101.271,1788618103.183,True,1.0,2.635138002774479,16.67211860083613,0.025648281487777317,0,0
97,FOCUS,True,1788618103.183,1788618105.147,True,1.0,1.4933827122949244,15.181705454286345,0.013908654454117176,0,0
98,FOCUS,True,1788618105.147,1788618107.036,True,1.0,1.5706441844679604,15.936641145822486,0.01704754696258164,0,0
99,FOCUS,True,1788618107.036,1788618108.888,True,1.0,2.158928974214705,15.34508099090004,0.019712222796501047,0,0
100,FOCUS,True,1788618108.888,1788618110.898,True,1.0,2.1120902844421177,16.424199655744616,0.020976709058826044,0,0
101,FOCUS,True,1788618110.898,1788618113.011,True,1.0,2.174670755664815,13.655681596348044,0.018200284265882674,0,0
102,FOCUS,True,1788618113.011,1788618114.977,True,1.0,1.8526808230069034,10.327775112768348,0.012602774948158372,0,0
103,FOCUS,True,1788618114.977,1788618116.924,True,1.0,2.225206488268525,16.508052899367424,0.019728203940506506,1,0
104,FOCUS,True,1788618116.924,1788618118.823,True,1.0,1.4613500391908927,11.864750664189145,0.010039432548486877,1,0
105,FOCUS,True,1788618118.823,1788618120.717,True,1.0,1.5078484693566596,9.390234830793954,0.010448705729067875,0,0
106,FOCUS,True,1788618120.717,1788618122.708,True,1.0,1.3654059741716749,8.886134349042996,0.007562757034291756,0,0
107,FOCUS,True,1788618122.708,1788618124.834,True,1.0,0.9972041979440966,10.114038948717111,0.0056034528702969206,1,0
108,FOCUS,True,1788618124.834,1788618126.795,True,1.0,0.9657526641662431,6.763836811401726,0.005166004163822161,0,0
109,FOCUS,True,1788618126.795,1788618128.73,True,1.0,1.3535701355424292,9.115327213273197,0.007189105320132287,0,1
110,FOCUS,True,1788618128.73,1788618130.823,True,1.0,1.084785156285542,8.331096868022138,0.005454773240812923,0,0
111,FOCUS,True,1788618130.823,1788618132.734,True,1.0,1.4841375691824106,10.793944040403765,0.009240850993779394,0,0
112,FOCUS,True,1788618132.734,1788618134.738,True,1.0,1.5728544302379441,10.675992608384467,0.010905726927798743,0,0
113,FOCUS,True,1788618134.738,1788618136.744,True,1.0,1.2801493961073163,7.976418200454198,0.007604268967864482,0,0
114,FOCUS,True,1788618136.744,1788618138.767,True,1.0,1.7663658968544962,11.347925345689214,0.013367199400999378,0,4
115,FOCUS,True,1788618138.767,1788618140.851,True,1.0,1.8291556086886172,12.745484427642225,0.012461986819022056,0,0
116,FOCUS,True,1788618140.851,1788618143.001,True,1.0,1.739840221302142,9.25793001655952,0.010915370377281327,1,14
117,FOCUS,True,1788618143.001,1788618145.067,True,1.0,1.7483370258263762,15.683776516855104,0.019379928735950784,0,3
118,FOCUS,True,1788618145.067,1788618147.085,True,1.0,1.6772907912398025,13.327206756861568,0.015592100497418706,1,0
119,FOCUS,True,1788618147.085,1788618149.154,True,1.0,2.1815615850257655,19.025093923161155,0.029318995657516358,0,0
120,FOCUS,True,1788618149.154,1788618151.301,True,1.0,1.7185390280277781,12.888389348013634,0.015546389532931667,0,8
121,FOCUS,True,1788618151.301,1788618153.212,True,1.0,1.4956380593381915,9.298922281679301,0.010702450572545161,0,10
122,FOCUS,True,1788618153.212,1788618155.158,True,1.0,2.0615462810756697,17.339427718727656,0.020728747977119898,0,8
123,FOCUS,True,1788618155.158,1788618157.124,True,1.0,3.2905731852384457,22.689873492112632,0.054248218744497846,0,0
124,FOCUS,True,1788618157.124,1788618159.223,True,1.0,2.3186135496294127,17.53525040725327,0.023599945509101296,0,0
125,FOCUS,True,1788618159.223,1788618161.288,True,1.0,2.550305641774499,16.975914936543088,0.032793983156444335,0,0
126,FOCUS,True,1788618161.288,1788618163.265,True,1.0,2.2712806197861957,10.878288548649815,0.023602860969040514,0,0
127,FOCUS,True,1788618163.265,1788618165.414,True,1.0,3.3086427119874458,22.15953405536887,0.042322241001166515,0,0
128,FOCUS,True,1788618165.414,1788618167.296,True,1.0,3.2259345578690546,30.093615175471815,0.054984440918160814,0,0
